"행정구역","2026년04월_전체세대","2026년04월_1인세대","2026년04월_2인세대","2026년04월_3인세대","2026년04월_4인세대","2026년04월_5인세대","2026년04월_6인세대","2026년04월_7인세대","2026년04월_8인세대","2026년04월_9인세대","2026년04월_10인이상세대"
"인천광역시 미추홀구 문학동(2817771000)","7,859","4,549","1,677","888","544","153","41","4","2","1","0"
"인천광역시 연수구 (2818500000)","169,127","52,849","39,602","38,324","30,645","6,285","1,062","249","64","27","20"
"인천광역시 연수구 옥련1동(2818563000)","7,945","3,008","2,177","1,544","953","212","43","3","2","2","1"
"인천광역시 연수구 옥련2동(2818564000)","8,138","2,323","2,284","1,869","1,288","309","50","12","1","0","2"
"인천광역시 연수구 선학동(2818575000)","8,682","3,952","2,141","1,451","893","190","41","11","1","1","1"
"인천광역시 연수구 연수1동(2818576100)","8,591","4,566","1,849","1,235","709","187","33","10","1","0","1"
"인천광역시 연수구 연수2동(2818576200)","9,639","4,561","2,366","1,468","963","231","42","5","2","0","1"
"인천광역시 연수구 연수3동(2818576300)","7,066","3,108","1,863","1,179","734","152","24","3","1","2","0"
"인천광역시 연수구 청학동(2818576600)","11,869","6,244","2,896","1,613","808","237","51","13","4","3","0"
"인천광역시 연수구 동춘1동(2818578000)","9,612","1,938","2,751","2,495","1,913","424","67","13","3","2","6"
"인천광역시 연수구 동춘2동(2818579000)","6,817","1,802","2,072","1,598","1,112","193","32","7","1","0","0"
"인천광역시 연수구 동춘3동(2818579500)","5,740","640","1,336","1,654","1,613","412","61","18","6","0","0"
"인천광역시 연수구 송도1동(2818582000)","14,763","5,063","2,854","3,061","2,900","687","142","37","10","7","2"
"인천광역시 연수구 송도2동(2818583000)","12,485","1,879","2,269","3,605","3,778","791","112","39","8","3","1"
"인천광역시 연수구 송도3동(2818584000)","19,992","6,143","3,990","4,888","4,083","732","101","38","8","5","4"
"인천광역시 연수구 송도4동(2818585000)","20,305","4,124","4,365","5,701","5,026","905","152","22","9","1","0"
"인천광역시 연수구 송도5동(2818586000)","17,483","3,498","4,389","4,963","3,872","623","111","18","7","1","1"
"인천광역시 남동구 (2820000000)","226,676","93,938","58,083","39,087","27,684","6,321","1,216","264","54","19","10"
"인천광역시 남동구 구월1동(2820051000)","13,892","5,522","3,459","2,538","1,885","406","67","12","2","0","1"
"인천광역시 남동구 구월2동(2820052000)","13,907","3,115","3,575","3,572","2,856","648","110","21","7","1","2"
"인천광역시 남동구 구월3동(2820052100)","17,418","11,280","3,311","1,642","917","201","50","13","3","1","0"
"인천광역시 남동구 구월4동(2820052200)","7,401","4,257","1,820","764","433","97","24","4","2","0","0"
"인천광역시 남동구 간석1동(2820053000)","9,450","4,380","2,548","1,491","803","186","30","10","2","0","0"
"인천광역시 남동구 간석2동(2820054000)","9,297","3,672","2,290","1,708","1,232","303","72","17","3","0","0"
"인천광역시 남동구 간석3동(2820055000)","12,512","5,651","3,413","2,019","1,097","260","53","13","3","1","2"
"인천광역시 남동구 간석4동(2820055100)","13,730","6,088","3,598","2,302","1,340","327","57","13","3","2","0"
"인천광역시 남동구 만수1동(2820056000)","8,675","4,776","2,215","1,079","479","101","20","5","0","0","0"
"인천광역시 남동구 만수2동(2820057000)","9,532","3,098","2,710","1,941","1,350","351","65","12","3","2","0"
"인천광역시 남동구 만수3동(2820058000)","6,988","2,465","1,961","1,358","930","210","51","10","1","0","2"
"인천광역시 남동구 만수4동(2820058100)","8,740","3,412","2,666","1,535","917","164","40","4","1","1","0"
"인천광역시 남동구 만수5동(2820058200)","7,472","3,645","2,121","1,028","503","135","33","5","1","1","0"
"인천광역시 남동구 만수6동(2820058300)","10,108","3,942","2,802","1,813","1,207","262","62","17","2","0","1"
"인천광역시 남동구 장수서창동(2820065000)","7,791","2,520","2,265","1,463","1,133","325","59","16","7","3","0"
"인천광역시 남동구 서창2동(2820065500)","15,705","5,324","3,625","3,123","2,898","616","96","21","0","2","0"
"인천광역시 남동구 남촌도림동(2820066000)","8,917","3,534","2,604","1,557","923","240","48","11","0","0","0"
"인천광역시 남동구 논현1동(2820069000)","14,143","5,648","3,510","2,455","1,964","440","94","21","7","3","1"
"인천광역시 남동구 논현2동(2820070000)","15,330","7,030","3,969","2,261","1,552","408","85","19","3","2","1"
"인천광역시 남동구 논현고잔동(2820071000)","15,668","4,579","3,621","3,438","3,265","641","100","20","4","0","0"
"인천광역시 부평구 (2823700000)","226,861","87,158","61,655","42,823","27,986","5,884","1,048","215","62","14","16"
"인천광역시 부평구 부평1동(2823751000)","17,346","7,940","4,442","2,837","1,686","349","61","21","7","3","0"
"인천광역시 부평구 부평2동(2823752000)","8,436","3,752","2,370","1,380","752","142","27","4","6","1","2"
"인천광역시 부평구 부평3동(2823753000)","7,358","3,269","1,961","1,305","659","126","30","4","1","0","3"
"인천광역시 부평구 부평4동(2823754000)","17,708","9,092","4,340","2,499","1,400","301","66","8","1","0","1"
"인천광역시 부평구 부평5동(2823755000)","16,492","7,493","4,190","2,719","1,657","366","53","12","1","1","0"
"인천광역시 부평구 부평6동(2823756000)","9,338","3,912","2,590","1,629","990","186","25","4","0","0","2"
"인천광역시 부평구 산곡1동(2823757000)","6,264","2,005","1,844","1,400","822","152","32","6","2","1","0"
"인천광역시 부평구 산곡2동(2823758000)","10,609","2,071","2,897","2,688","2,347","474","106","18","4","3","1"
"인천광역시 부평구 산곡3동(2823758100)","8,514","2,722","2,517","1,741","1,135","312","66","15","4","0","2"
"인천광역시 부평구 산곡4동(2823758200)","6,546","1,721","1,859","1,543","1,089","267","49","13","4","1","0"
"인천광역시 부평구 청천1동(2823759100)","9,694","2,889","2,739","2,304","1,465","260","29","6","2","0","0"
"인천광역시 부평구 청천2동(2823759200)","14,549","5,010","4,152","2,878","2,019","396","73","15","5","1","0"
"인천광역시 부평구 갈산1동(2823764100)","6,659","2,594","1,938","1,264","688","136","32","4","3","0","0"
"인천광역시 부평구 갈산2동(2823764200)","8,077","3,381","2,121","1,357","891","249","61","11","4","2","0"
"인천광역시 부평구 삼산1동(2823764600)","14,028","5,022","3,785","2,854","1,936","359","58","13","1","0","0"
"인천광역시 부평구 삼산2동(2823764800)","10,202","2,297","2,653","2,458","2,240","490","51","10","3","0","0"
"인천광역시 부평구 부개1동(2823765000)","7,660","3,580","2,163","1,121","634","120","31","7","3","0","1"
"인천광역시 부평구 부개2동(2823766000)","8,322","2,850","2,360","1,664","1,137","250","48","11","2","0","0"
"인천광역시 부평구 부개3동(2823766100)","12,029","4,095","3,337","2,463","1,729","340","48","12","4","0","1"
"인천광역시 부평구 일신동(2823767000)","4,995","1,729","1,505","944","631","153","26","4","1","0","2"
"인천광역시 부평구 십정1동(2823768000)","10,780","3,753","3,123","2,336","1,254","265","39","7","1","1","1"
"인천광역시 부평구 십정2동(2823769000)","11,255","5,981","2,769","1,439","825","191","37","10","3","0","0"
"인천광역시 계양구 (2824500000)","129,050","50,374","34,850","23,968","15,701","3,389","603","118","28","6","13"
"인천광역시 계양구 효성1동(2824560100)","11,566","4,062","3,341","2,358","1,413","330","48","13","1","0","0"
"인천광역시 계양구 효성2동(2824560200)","12,670","3,900","3,837","2,720","1,740","381","73","17","2","0","0"
"인천광역시 계양구 계산1동(2824561100)","9,807","5,465","2,317","1,192","651","149","27","4","2","0","0"
"인천광역시 계양구 계산2동(2824561200)","7,472","3,863","1,937","1,017","506","112","29","1","2","3","2"
"인천광역시 계양구 계산3동(2824561300)","8,402","3,548","2,406","1,449","810","160","24","3","2","0","0"
"인천광역시 계양구 계산4동(2824561400)","9,454","3,482","1,932","1,867","1,774","344","42","12","1","0","0"
"인천광역시 계양구 작전1동(2824562100)","11,127","3,643","3,126","2,357","1,603","324","59","11","4","0","0"
"인천광역시 계양구 작전2동(2824562200)","11,027","4,274","3,158","2,012","1,289","241","41","8","2","0","2"
"인천광역시 계양구 작전서운동(2824564000)","13,930","4,825","3,624","2,899","2,065","413","84","15","2","1","2"
"인천광역시 계양구 계양1동(2824571000)","8,202","2,815","2,342","1,689","1,026","256","51","13","3","1","6"
"인천광역시 계양구 계양2동(2824572000)","15,704","7,480","4,112","2,436","1,332","280","49","12","1","1","1"
"인천광역시 계양구 계양3동(2824573000)","9,689","3,017","2,718","1,972","1,492","399","76","9","6","0","0"
"인천광역시 서구 (2826000000)","284,986","99,128","69,910","58,602","45,280","9,959","1,633","347","80","33","14"
"인천광역시 서구 검암경서동(2826051500)","20,123","8,046","5,166","3,622","2,536","623","106","16","4","3","1"
"인천광역시 서구 연희동(2826053000)","18,373","8,583","4,758","2,826","1,686","438","58","18","4","2","0"
"인천광역시 서구 청라1동(2826053600)","12,066","3,612","2,496","2,821","2,490","517","98","22","9","0","1"
"인천광역시 서구 청라2동(2826053700)","18,299","5,024","3,770","4,172","4,231","895","153","38","7","8","1"
"인천광역시 서구 청라3동(2826053900)","14,569","4,688","2,679","3,213","3,089","758","117","18","3","2","2"
"인천광역시 서구 가정1동(2826054200)","17,532","5,969","4,003","3,788","3,105","570","78","14","4","1","0"
"인천광역시 서구 가정2동(2826054300)","7,139","2,141","1,794","1,732","1,224","208","34","5","1","0","0"
"인천광역시 서구 가정3동(2826054400)","4,095","1,754","1,153","681","380","104","17","5","1","0","0"
"인천광역시 서구 석남1동(2826055000)","10,343","4,949","2,785","1,547","822","200","34","3","1","1","1"
"인천광역시 서구 석남2동(2826056000)","5,789","2,462","1,693","939","544","125","18","8","0","0","0"
"인천광역시 서구 석남3동(2826056100)","6,653","3,020","1,906","1,022","550","124","25","2","3","0","1"
"인천광역시 서구 신현원창동(2826057500)","12,449","4,156","3,388","2,608","1,785","410","74","17","5","4","2"
"인천광역시 서구 가좌1동(2826058000)","6,605","3,193","1,863","981","442","104","14","5","2","0","1"
"인천광역시 서구 가좌2동(2826059000)","7,489","2,137","2,218","1,638","1,152","273","47","21","3","0","0"
"인천광역시 서구 가좌3동(2826060000)","7,872","3,715","2,291","1,144","586","113","18","3","0","1","1"
"인천광역시 서구 가좌4동(2826061000)","5,789","2,235","1,708","1,078","622","123","18","4","1","0","0"
"인천광역시 서구 검단동(2826068000)","15,504","6,814","3,747","2,568","1,822","455","75","20","3","0","0"
"인천광역시 서구 불로대곡동(2826069000)","17,920","4,369","4,249","4,485","3,746","895","144","26","3","3","0"
"인천광역시 서구 원당동(2826070000)","9,941","3,787","2,269","1,908","1,547","347","67","12","1","3","0"
"인천광역시 서구 당하동(2826071000)","18,745","6,352","4,848","3,958","2,845","600","111","21","9","0","1"
"인천광역시 서구 오류왕길동(2826072000)","10,768","3,491","2,771","2,259","1,741","408","79","12","5","0","2"
"인천광역시 서구 마전동(2826073000)","8,195","2,223","1,972","1,840","1,606","446","81","21","3","3","0"
"인천광역시 서구 아라1동(2826075000)","17,787","4,404","4,134","4,662","3,800","668","89","23","5","2","0"
"인천광역시 서구 아라2동(2826076000)","10,941","2,004","2,249","3,110","2,929","555","78","13","3","0","0"
"인천광역시 강화군 (2871000000)","36,277","16,558","11,557","4,502","2,427","889","253","55","18","8","10"
"인천광역시 강화군 강화읍(2871025000)","10,649","4,728","3,023","1,504","940","352","80","12","3","3","4"
"인천광역시 강화군 선원면(2871031000)","4,793","1,829","1,518","761","492","142","44","4","3","0","0"
"인천광역시 강화군 불은면(2871032000)","2,789","1,376","948","272","114","55","18","3","3","0","0"
"인천광역시 강화군 길상면(2871033000)","3,780","1,742","1,192","490","228","86","29","8","4","0","1"
"인천광역시 강화군 화도면(2871034000)","2,491","1,229","822","250","115","55","11","8","0","1","0"
"인천광역시 강화군 양도면(2871035000)","2,221","1,003","795","250","104","46","17","3","1","0","2"
"인천광역시 강화군 내가면(2871036000)","1,626","787","569","164","68","24","10","3","0","1","0"
"인천광역시 강화군 하점면(2871037000)","2,139","1,020","713","239","101","37","18","6","2","1","2"
"인천광역시 강화군 양사면(2871038000)","1,068","529","365","96","48","19","7","3","0","0","1"
"인천광역시 강화군 송해면(2871039000)","1,664","723","599","188","108","29","11","4","2","0","0"
"인천광역시 강화군 교동면(2871040000)","1,503","743","521","155","57","21","5","0","0","1","0"
"인천광역시 강화군 삼산면(2871041000)","1,158","619","365","109","42","20","2","1","0","0","0"
"인천광역시 강화군 서도면(2871042000)","220","126","69","14","8","1","1","0","0","1","0"
"인천광역시 강화군 서도면볼음출장소(2871042500)","176","104","58","10","2","2","0","0","0","0","0"
"인천광역시 옹진군 (2872000000)","12,211","7,690","2,874","976","467","142","43","11","5","1","2"
"인천광역시 옹진군 북도면(2872031000)","688","397","191","62","21","11","2","3","0","1","0"
"인천광역시 옹진군 북도면장봉출장소(2872031500)","552","316","171","44","11","4","3","0","1","0","2"
"인천광역시 옹진군 백령면(2872033000)","2,777","1,775","576","230","143","40","10","1","2","0","0"
"인천광역시 옹진군 대청면(2872034000)","747","496","164","53","21","9","2","1","1","0","0"
"인천광역시 옹진군 대청면소청출장소(2872034500)","183","139","37","5","1","1","0","0","0","0","0"
"인천광역시 옹진군 덕적면(2872035000)","1,231","785","332","75","30","5","2","2","0","0","0"
"인천광역시 옹진군 영흥면(2872036000)","3,804","2,201","955","386","185","52","21","4","0","0","0"
"인천광역시 옹진군 자월면(2872037000)","604","376","166","37","17","6","1","0","1","0","0"
"인천광역시 옹진군 자월면이작출장소(2872037500)","224","131","69","12","7","5","0","0","0","0","0"
"인천광역시 옹진군 연평면(2872038000)","1,401","1,074","213","72","31","9","2","0","0","0","0"
"광주광역시  (2900000000)","660,819","281,724","164,980","110,018","81,372","18,911","2,981","602","142","39","50"
"광주광역시 동구 (2911000000)","55,471","28,240","13,303","7,699","4,845","1,112","208","43","12","2","7"
"광주광역시 동구 충장동(2911052500)","4,655","3,761","609","193","70","18","4","0","0","0","0"
"광주광역시 동구 동명동(2911054500)","2,386","1,733","414","144","65","24","6","0","0","0","0"
"광주광역시 동구 계림1동(2911056000)","5,401","2,973","1,158","735","421","92","20","1","1","0","0"
"광주광역시 동구 계림2동(2911057000)","5,701","1,807","1,545","1,194","958","162","27","6","2","0","0"
"광주광역시 동구 산수1동(2911059000)","4,131","2,226","983","504","304","93","14","5","2","0","0"
"광주광역시 동구 산수2동(2911060000)","4,494","1,847","1,316","762","441","96","26","3","3","0","0"
"광주광역시 동구 지산1동(2911062000)","2,452","1,627","453","205","121","33","8","3","0","0","2"
"광주광역시 동구 지산2동(2911063000)","2,346","1,396","510","233","150","46","9","1","0","0","1"
"광주광역시 동구 서남동(2911065500)","2,826","2,405","281","89","39","8","3","0","0","0","1"
"광주광역시 동구 학동(2911068500)","3,351","1,416","891","565","383","85","6","4","1","0","0"
"광주광역시 동구 학운동(2911071000)","4,999","1,988","1,563","832","433","130","39","11","1","1","1"
"광주광역시 동구 지원1동(2911073000)","4,134","1,617","1,163","756","483","93","16","4","1","0","1"
"광주광역시 동구 지원2동(2911074000)","8,595","3,444","2,417","1,487","977","232","30","5","1","1","1"
"광주광역시 서구 (2914000000)","133,579","58,335","33,677","21,882","15,501","3,469","559","114","27","6","9"
"광주광역시 서구 양동(2914057500)","1,583","880","441","155","79","22","3","3","0","0","0"
"광주광역시 서구 양3동(2914059000)","2,042","928","580","289","184","50","7","3","0","1","0"
"광주광역시 서구 농성1동(2914065000)","6,622","3,851","1,522","729","405","93","16","4","1","1","0"
"광주광역시 서구 농성2동(2914066000)","2,699","1,757","578","245","90","24","5","0","0","0","0"
"광주광역시 서구 광천동(2914073000)","2,319","924","586","462","273","64","9","1","0","0","0"
"광주광역시 서구 유덕동(2914074000)","4,749","2,119","1,110","778","578","143","15","4","1","0","1"
"광주광역시 서구 치평동(2914074500)","14,214","6,472","3,389","2,333","1,600","336","67","11","5","0","1"
"광주광역시 서구 상무1동(2914075100)","12,886","6,652","2,864","1,764","1,261","277","51","13","4","0","0"
"광주광역시 서구 상무2동(2914075200)","13,019","7,850","2,868","1,291","773","176","45","12","3","1","0"
"광주광역시 서구 화정1동(2914076000)","8,904","5,077","2,067","993","579","150","30","6","2","0","0"
"광주광역시 서구 화정2동(2914077000)","7,771","2,156","2,097","1,727","1,476","264","41","9","1","0","0"
"광주광역시 서구 화정3동(2914078000)","4,257","1,852","1,217","685","359","122","19","3","0","0","0"
"광주광역시 서구 화정4동(2914079000)","8,183","2,548","2,484","1,692","1,112","296","36","12","3","0","0"
"광주광역시 서구 서창동(2914080000)","3,073","1,092","819","627","410","102","14","4","2","0","3"
"광주광역시 서구 금호1동(2914082100)","9,566","3,612","2,640","1,740","1,268","260","39","4","0","1","2"
"광주광역시 서구 금호2동(2914082400)","10,404","2,869","2,754","2,392","1,920","402","60","6","0","0","1"
"광주광역시 서구 풍암동(2914083000)","14,901","5,635","3,801","2,829","2,102","454","64","10","5","0","1"
"광주광역시 서구 동천동(2914084000)","6,387","2,061","1,860","1,151","1,032","234","38","9","0","2","0"
"광주광역시 남구 (2915500000)","96,347","38,473","25,848","16,454","12,115","2,825","490","108","20","6","8"
"광주광역시 남구 양림동(2915551000)","2,957","1,126","985","459","301","69","12","5","0","0","0"
"광주광역시 남구 방림1동(2915552000)","2,892","1,159","782","503","361","71","12","3","0","1","0"
"광주광역시 남구 방림2동(2915553000)","4,189","1,602","1,235","743","462","118","18","11","0","0","0"
"광주광역시 남구 봉선1동(2915553700)","6,823","3,212","1,706","1,024","683","160","32","6","0","0","0"
"광주광역시 남구 봉선2동(2915553800)","10,005","2,084","2,509","2,350","2,414","529","89","21","4","3","2"
"광주광역시 남구 사직동(2915554500)","2,604","1,578","573","245","159","45","2","2","0","0","0"
"광주광역시 남구 월산동(2915560500)","5,293","2,192","1,465","887","594","134","17","2","2","0","0"
"광주광역시 남구 월산4동(2915563000)","4,522","2,666","1,119","449","204","70","12","1","1","0","0"
"광주광역시 남구 월산5동(2915564000)","3,244","1,849","862","323","160","40","6","4","0","0","0"
"광주광역시 남구 백운1동(2915567000)","5,111","1,752","1,651","964","575","132","26","7","4","0","0"
"광주광역시 남구 백운2동(2915568000)","3,613","1,920","847","443","322","69","11","0","1","0","0"
"광주광역시 남구 주월1동(2915569000)","9,356","3,650","2,574","1,647","1,164","261","50","8","2","0","0"
"광주광역시 남구 주월2동(2915570000)","3,674","1,781","1,034","480","282","76","17","4","0","0","0"
"광주광역시 남구 진월동(2915570500)","11,499","3,670","3,175","2,298","1,801","434","103","14","2","1","1"
"광주광역시 남구 효덕동(2915571000)","7,553","3,608","1,915","1,065","758","176","25","5","0","0","1"
"광주광역시 남구 송암동(2915572000)","8,609","2,803","2,132","1,841","1,459","319","39","11","2","0","3"
"광주광역시 남구 대촌동(2915573000)","4,403","1,821","1,284","733","416","122","19","4","2","1","1"
"광주광역시 북구 (2917000000)","202,207","88,802","51,082","32,772","23,038","5,419","861","159","48","12","14"
"광주광역시 북구 중흥1동(2917051000)","2,782","1,927","525","226","84","13","5","2","0","0","0"
"광주광역시 북구 중흥동(2917053500)","8,380","4,884","1,634","988","691","152","22","8","1","0","0"
"광주광역시 북구 중앙동(2917055500)","2,025","1,223","411","230","127","30","4","0","0","0","0"
"광주광역시 북구 임동(2917057000)","6,795","2,895","1,772","1,224","745","130","22","6","1","0","0"
"광주광역시 북구 신안동(2917058000)","7,125","4,359","1,461","802","376","101","22","2","0","0","2"
"광주광역시 북구 용봉동(2917059000)","18,136","8,652","4,427","2,652","1,857","454","72","17","3","2","0"
"광주광역시 북구 운암1동(2917060100)","7,273","2,015","2,144","1,555","1,170","313","60","11","5","0","0"
"광주광역시 북구 운암2동(2917060200)","5,608","2,833","1,472","757","403","123","13","3","4","0","0"
"광주광역시 북구 운암3동(2917060300)","6,765","1,953","1,927","1,460","1,115","256","42","9","2","1","0"
"광주광역시 북구 동림동(2917061500)","9,779","3,716","2,762","1,796","1,197","251","44","7","3","2","1"
"광주광역시 북구 우산동(2917062000)","7,647","3,659","1,733","1,165","828","211","38","12","1","0","0"
"광주광역시 북구 풍향동(2917063500)","2,474","1,179","562","389","286","44","11","3","0","0","0"
"광주광역시 북구 문화동(2917065000)","10,720","4,464","2,918","1,813","1,194","275","47","6","2","0","1"
"광주광역시 북구 문흥1동(2917065600)","6,299","2,118","1,880","1,196","857","213","28","5","1","1","0"
"광주광역시 북구 문흥2동(2917065700)","7,322","3,489","1,978","1,086","623","131","12","2","1","0","0"
"광주광역시 북구 두암1동(2917066100)","3,758","1,988","998","462","215","83","10","2","0","0","0"
"광주광역시 북구 두암2동(2917066200)","7,316","3,463","2,065","1,002","587","154","32","6","3","2","2"
"광주광역시 북구 두암3동(2917066300)","7,236","4,513","1,689","622","312","77","18","2","2","0","1"
"광주광역시 북구 삼각동(2917066600)","5,910","2,383","1,448","1,053","819","178","25","2","1","1","0"
"광주광역시 북구 일곡동(2917066900)","11,419","3,715","2,998","2,308","1,908","418","61","7","3","1","0"
"광주광역시 북구 매곡동(2917067300)","5,426","1,724","1,558","1,117","772","214","34","4","3","0","0"
"광주광역시 북구 오치1동(2917067600)","5,308","2,864","1,232","679","387","108","29","8","0","0","1"
"광주광역시 북구 오치2동(2917067700)","6,668","4,069","1,437","721","326","96","16","3","0","0","0"
"광주광역시 북구 석곡동(2917068500)","1,234","664","367","123","51","21","6","1","0","0","1"
"광주광역시 북구 건국동(2917069500)","9,426","3,153","2,354","1,907","1,591","355","54","6","3","0","3"
"광주광역시 북구 양산동(2917069600)","16,159","6,660","4,035","2,763","2,090","512","76","17","4","2","0"
"광주광역시 북구 신용동(2917069700)","13,217","4,240","3,295","2,676","2,427","506","58","8","5","0","2"
"광주광역시 광산구 (2920000000)","173,215","67,874","41,070","31,211","25,873","6,086","863","178","35","13","12"
"광주광역시 광산구 송정1동(2920051500)","4,707","2,061","1,203","767","503","138","27","8","0","0","0"
"광주광역시 광산구 송정2동(2920052500)","3,246","1,709","856","420","183","67","6","4","0","1","0"
"광주광역시 광산구 도산동(2920054000)","6,499","2,633","1,717","1,116","771","213","38","10","0","0","1"
"광주광역시 광산구 신흥동(2920055000)","1,836","689","564","325","182","54","13","6","2","1","0"
"광주광역시 광산구 어룡동(2920056500)","16,459","6,230","4,257","3,046","2,308","526","74","13","4","1","0"
"광주광역시 광산구 우산동(2920058000)","14,653","7,517","3,429","2,088","1,267","290","44","13","5","0","0"
"광주광역시 광산구 월곡1동(2920060000)","4,485","1,958","1,224","728","423","120","21","8","2","1","0"
"광주광역시 광산구 월곡2동(2920061000)","6,243","2,292","1,662","1,199","858","195","31","5","1","0","0"
"광주광역시 광산구 비아동(2920062000)","3,462","1,561","845","540","401","94","21","0","0","0","0"
"광주광역시 광산구 첨단1동(2920062400)","11,299","3,486","3,032","2,355","1,845","481","75","20","2","1","2"
"광주광역시 광산구 첨단2동(2920062600)","18,854","8,194","4,073","3,251","2,656","584","81","14","0","0","1"
"광주광역시 광산구 신가동(2920063000)","7,354","2,244","1,660","1,541","1,508","351","43","5","2","0","0"
"광주광역시 광산구 운남동(2920063500)","12,231","4,243","3,173","2,458","1,878","417","52","8","1","1","0"
"광주광역시 광산구 수완동(2920063700)","28,519","8,673","5,885","5,896","6,392","1,459","172","34","6","1","1"
"광주광역시 광산구 하남동(2920064000)","12,045","4,945","2,642","2,061","1,846","464","69","11","4","3","0"
"광주광역시 광산구 임곡동(2920065000)","1,130","676","330","83","28","9","1","1","0","0","2"
"광주광역시 광산구 동곡동(2920066000)","896","483","256","102","33","15","4","1","1","1","0"
"광주광역시 광산구 평동(2920067000)","2,949","1,722","736","317","126","35","10","2","1","0","0"
"광주광역시 광산구 삼도동(2920068000)","1,261","801","308","102","31","13","2","2","0","0","2"
"광주광역시 광산구 본량동(2920069000)","1,078","644","300","88","32","6","4","0","0","1","3"
"광주광역시 광산구 신창동(2920070000)","14,009","5,113","2,918","2,728","2,602","555","75","13","4","1","0"
"대전광역시  (3000000000)","702,687","312,583","173,501","113,179","81,209","17,997","3,272","659","172","48","67"
"대전광역시 동구 (3011000000)","113,512","55,609","28,410","16,074","10,323","2,499","467","92","25","6","7"
"대전광역시 동구 중앙동(3011051500)","2,406","1,844","379","124","41","13","2","2","0","0","1"
"대전광역시 동구 효동(3011053000)","12,071","3,309","3,497","2,700","2,042","435","76","11","1","0","0"
"대전광역시 동구 신인동(3011054500)","6,857","2,512","2,133","1,220","803","148","33","5","1","2","0"
"대전광역시 동구 판암1동(3011055100)","6,053","2,831","1,679","926","502","92","12","8","3","0","0"
"대전광역시 동구 판암2동(3011055200)","5,129","3,467","1,119","368","127","30","13","4","0","1","0"
"대전광역시 동구 용운동(3011056000)","10,700","5,227","2,578","1,583","999","262","38","9","3","1","0"
"대전광역시 동구 대동(3011058500)","5,923","2,135","1,602","1,099","834","214","30","7","2","0","0"
"대전광역시 동구 자양동(3011059000)","7,435","5,394","1,195","501","242","78","20","3","1","0","1"
"대전광역시 동구 가양1동(3011062000)","6,912","3,626","1,741","865","508","137","26","6","2","0","1"
"대전광역시 동구 가양2동(3011063000)","9,870","5,235","2,412","1,243","734","188","50","5","3","0","0"
"대전광역시 동구 용전동(3011064000)","12,009","7,658","2,321","1,135","663","184","34","9","3","0","2"
"대전광역시 동구 성남동(3011066500)","5,110","2,206","1,428","833","513","100","25","5","0","0","0"
"대전광역시 동구 홍도동(3011067000)","6,292","3,659","1,413","713","403","85","17","1","1","0","0"
"대전광역시 동구 삼성동(3011069500)","6,475","2,785","1,932","1,001","590","142","22","3","0","0","0"
"대전광역시 동구 대청동(3011072500)","1,147","554","374","131","59","22","5","1","1","0","0"
"대전광역시 동구 산내동(3011074000)","9,123","3,167","2,607","1,632","1,263","369","64","13","4","2","2"
"대전광역시 중구 (3014000000)","109,851","47,937","29,190","17,289","11,837","2,874","543","126","32","10","13"
"대전광역시 중구 은행선화동(3014053500)","12,165","6,124","2,403","1,827","1,448","323","30","5","3","1","1"
"대전광역시 중구 목동(3014055000)","6,252","1,294","1,462","1,501","1,589","341","52","7","3","1","2"
"대전광역시 중구 중촌동(3014056000)","7,312","3,073","2,041","1,279","735","145","29","8","2","0","0"
"대전광역시 중구 대흥동(3014057500)","7,051","4,318","1,351","745","496","114","18","5","1","1","2"
"대전광역시 중구 문창동(3014060500)","2,482","1,508","602","208","119","34","8","0","2","1","0"
"대전광역시 중구 석교동(3014062000)","7,285","3,500","2,223","972","428","132","20","8","0","0","2"
"대전광역시 중구 대사동(3014063000)","3,243","2,073","694","276","146","40","12","2","0","0","0"
"대전광역시 중구 부사동(3014064000)","3,192","1,638","863","414","206","53","14","4","0","0","0"
"대전광역시 중구 용두동(3014065500)","5,449","3,052","1,197","640","444","91","17","7","0","0","1"
"대전광역시 중구 오류동(3014067000)","4,905","2,135","1,421","767","466","89","21","5","1","0","0"
"대전광역시 중구 태평1동(3014068000)","5,071","1,492","1,500","1,090","788","164","29","3","3","2","0"
"대전광역시 중구 태평2동(3014069000)","9,345","2,281","3,027","2,004","1,503","408","94","19","7","0","2"
"대전광역시 중구 유천1동(3014070000)","3,348","1,837","918","377","165","40","9","1","0","0","1"
"대전광역시 중구 유천2동(3014071000)","6,307","2,855","1,832","909","515","147","34","15","0","0","0"
"대전광역시 중구 문화1동(3014072000)","8,384","2,538","2,372","1,677","1,378","322","69","19","6","3","0"
"대전광역시 중구 문화2동(3014073000)","5,793","2,849","1,583","772","398","153","34","4","0","0","0"
"대전광역시 중구 산성동(3014074000)","12,267","5,370","3,701","1,831","1,013","278","53","14","4","1","2"
"대전광역시 서구 (3017000000)","224,107","98,836","54,359","36,772","27,058","5,743","1,045","201","56","14","23"
"대전광역시 서구 복수동(3017051000)","8,774","2,925","2,267","1,781","1,367","341","74","13","4","1","1"
"대전광역시 서구 도마1동(3017052000)","9,661","4,937","2,447","1,303","750","176","39","6","2","1","0"
"대전광역시 서구 도마2동(3017053000)","9,461","4,078","2,644","1,523","895","260","48","10","2","1","0"
"대전광역시 서구 정림동(3017053500)","6,701","2,367","2,231","1,190","671","179","42","11","3","3","4"
